
ST GERMAIN DU SEUDRE;534;2
GILLEY;533;31
LARROQUE;533;10
ST LARY;533;101
JARRIER;533;28
BEZOUCE;533;10
VALROS;532;55
GONNEVILLE EN AUGE;532;77
MONTREAL;532;5
LUCHAT;532;2
SAVINES LE LAC;531;68
LES BAUX DE PROVENCE;531;50
LANGLADE;531;36
AUJAC;531;2
VOUILLE LES MARAIS;531;2
PAULHAC;531;1
NESMY;531;12
ARSAC;531;2
PLAISSAN;531;42
VOUGY;531;11
PLEURTUIT;531;111
ST VINCENT SUR GRAON;530;6
CAHUZAC;530;3
COUX;530;3
GRIGNON;530;3
LA VALLEE;530;8
CARCES;529;76
BAGUER PICAN;529;45
VERRIERES DE JOUX;529;152
RETAUD;528;3
MONTFRIN;528;34
FILLIERE;528;81
PRAZ SUR ARLY;528;75
LA PELLERINE;528;11
BLONVILLE SUR MER;527;126
ETIVAL;527;122
CORME ROYAL;526;6
BEURLAY;526;1
CARS;526;1
MEYNES;526;49
